Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
05.01.2018,Cuma,08.01.2018,Pazartesi,PKR,0.03363,0.03407
08.01.2018,Pazartesi,09.01.2018,Sali,USD,3.7454,3.7521
08.01.2018,Pazartesi,09.01.2018,Sali,AUD,2.9282,2.9473
08.01.2018,Pazartesi,09.01.2018,Sali,DKK,0.60244,0.6054
08.01.2018,Pazartesi,09.01.2018,Sali,EUR,4.493,4.5011
08.01.2018,Pazartesi,09.01.2018,Sali,GBP,5.0628,5.0892
08.01.2018,Pazartesi,09.01.2018,Sali,CHF,3.824,3.8486
08.01.2018,Pazartesi,09.01.2018,Sali,SEK,0.45605,0.46077
08.01.2018,Pazartesi,09.01.2018,Sali,CAD,3.014,3.0276
08.01.2018,Pazartesi,09.01.2018,Sali,KWD,12.3541,12.5157
08.01.2018,Pazartesi,09.01.2018,Sali,NOK,0.46315,0.46626
08.01.2018,Pazartesi,09.01.2018,Sali,SAR,0.99869,1.0005
08.01.2018,Pazartesi,09.01.2018,Sali,JPY,3.3005,3.3224
08.01.2018,Pazartesi,09.01.2018,Sali,BGN,2.2842,2.3141
08.01.2018,Pazartesi,09.01.2018,Sali,RON,0.96435,0.97697
08.01.2018,Pazartesi,09.01.2018,Sali,RUB,0.06525,0.0661
08.01.2018,Pazartesi,09.01.2018,Sali,IRR,0.01031,0.01044
08.01.2018,Pazartesi,09.01.2018,Sali,CNY,0.57338,0.58088
08.01.2018,Pazartesi,09.01.2018,Sali,PKR,0.03364,0.03408
09.01.2018,Sali,10.01.2018,Carsamba,USD,3.7554,3.7621
09.01.2018,Sali,10.01.2018,Carsamba,AUD,2.9341,2.9532
09.01.2018,Sali,10.01.2018,Carsamba,DKK,0.60119,0.60414
09.01.2018,Sali,10.01.2018,Carsamba,EUR,4.484,4.4921
09.01.2018,Sali,10.01.2018,Carsamba,GBP,5.0754,5.1019
09.01.2018,Sali,10.01.2018,Carsamba,CHF,3.8181,3.8426
09.01.2018,Sali,10.01.2018,Carsamba,SEK,0.45462,0.45933
09.01.2018,Sali,10.01.2018,Carsamba,CAD,3.0175,3.0311
09.01.2018,Sali,10.01.2018,Carsamba,KWD,12.384,12.546
09.01.2018,Sali,10.01.2018,Carsamba,NOK,0.46299,0.46611
09.01.2018,Sali,10.01.2018,Carsamba,SAR,1.0014,1.0032
09.01.2018,Sali,10.01.2018,Carsamba,JPY,3.3214,3.3434
09.01.2018,Sali,10.01.2018,Carsamba,BGN,2.2796,2.3095
09.01.2018,Sali,10.01.2018,Carsamba,RON,0.95801,0.97055
09.01.2018,Sali,10.01.2018,Carsamba,RUB,0.06545,0.06631
09.01.2018,Sali,10.01.2018,Carsamba,IRR,0.01031,0.01045
09.01.2018,Sali,10.01.2018,Carsamba,CNY,0.57267,0.58016
09.01.2018,Sali,10.01.2018,Carsamba,PKR,0.03372,0.03416
10.01.2018,Carsamba,11.01.2018,Persembe,USD,3.7844,3.7912
10.01.2018,Carsamba,11.01.2018,Persembe,AUD,2.9587,2.978
10.01.2018,Carsamba,11.01.2018,Persembe,DKK,0.60676,0.60974
10.01.2018,Carsamba,11.01.2018,Persembe,EUR,4.5255,4.5337
10.01.2018,Carsamba,11.01.2018,Persembe,GBP,5.1085,5.1352
10.01.2018,Carsamba,11.01.2018,Persembe,CHF,3.8484,3.8731
10.01.2018,Carsamba,11.01.2018,Persembe,SEK,0.45934,0.4641
10.01.2018,Carsamba,11.01.2018,Persembe,CAD,3.0352,3.0489
10.01.2018,Carsamba,11.01.2018,Persembe,KWD,12.4749,12.6382
10.01.2018,Carsamba,11.01.2018,Persembe,NOK,0.46784,0.47099
10.01.2018,Carsamba,11.01.2018,Persembe,SAR,1.0091,1.0109
10.01.2018,Carsamba,11.01.2018,Persembe,JPY,3.3787,3.4011
10.01.2018,Carsamba,11.01.2018,Persembe,BGN,2.3007,2.3308
10.01.2018,Carsamba,11.01.2018,Persembe,RON,0.96883,0.98151
10.01.2018,Carsamba,11.01.2018,Persembe,RUB,0.06609,0.06696
10.01.2018,Carsamba,11.01.2018,Persembe,IRR,0.01037,0.01051
10.01.2018,Carsamba,11.01.2018,Persembe,CNY,0.57759,0.58514
10.01.2018,Carsamba,11.01.2018,Persembe,PKR,0.03398,0.03442
11.01.2018,Persembe,12.01.2018,Cuma,USD,3.7919,3.7988
11.01.2018,Persembe,12.01.2018,Cuma,AUD,2.9775,2.9969
11.01.2018,Persembe,12.01.2018,Cuma,DKK,0.60716,0.61014
11.01.2018,Persembe,12.01.2018,Cuma,EUR,4.5287,4.5369
11.01.2018,Persembe,12.01.2018,Cuma,GBP,5.1038,5.1304
11.01.2018,Persembe,12.01.2018,Cuma,CHF,3.861,3.8858
11.01.2018,Persembe,12.01.2018,Cuma,SEK,0.46079,0.46556
11.01.2018,Persembe,12.01.2018,Cuma,CAD,3.0138,3.0274
11.01.2018,Persembe,12.01.2018,Cuma,KWD,12.4971,12.6606
11.01.2018,Persembe,12.01.2018,Cuma,NOK,0.46881,0.47196
11.01.2018,Persembe,12.01.2018,Cuma,SAR,1.0111,1.0129
11.01.2018,Persembe,12.01.2018,Cuma,JPY,3.3866,3.409
11.01.2018,Persembe,12.01.2018,Cuma,BGN,2.3023,2.3324
11.01.2018,Persembe,12.01.2018,Cuma,RON,0.9711,0.98381
11.01.2018,Persembe,12.01.2018,Cuma,RUB,0.06616,0.06702
11.01.2018,Persembe,12.01.2018,Cuma,IRR,0.01037,0.0105
11.01.2018,Persembe,12.01.2018,Cuma,CNY,0.57929,0.58687
11.01.2018,Persembe,12.01.2018,Cuma,PKR,0.03405,0.03449
12.01.2018,Cuma,13.01.2018,Cumartesi,USD,3.7622,3.769
12.01.2018,Cuma,13.01.2018,Cumartesi,AUD,2.9564,2.9757
12.01.2018,Cuma,13.01.2018,Cumartesi,DKK,0.61017,0.61316
12.01.2018,Cuma,13.01.2018,Cumartesi,EUR,4.5517,4.5599
12.01.2018,Cuma,13.01.2018,Cumartesi,GBP,5.1046,5.1312
12.01.2018,Cuma,13.01.2018,Cumartesi,CHF,3.8574,3.8822
12.01.2018,Cuma,13.01.2018,Cumartesi,SEK,0.46168,0.46646
12.01.2018,Cuma,13.01.2018,Cumartesi,CAD,2.9992,3.0128
12.01.2018,Cuma,13.01.2018,Cumartesi,KWD,12.4166,12.579
12.01.2018,Cuma,13.01.2018,Cumartesi,NOK,0.46989,0.47305
12.01.2018,Cuma,13.01.2018,Cumartesi,SAR,1.0031,1.005
12.01.2018,Cuma,13.01.2018,Cumartesi,JPY,3.3749,3.3973
12.01.2018,Cuma,13.01.2018,Cumartesi,BGN,2.3139,2.3442
12.01.2018,Cuma,13.01.2018,Cumartesi,RON,0.9757,0.98847
12.01.2018,Cuma,13.01.2018,Cumartesi,RUB,0.06612,0.06699
12.01.2018,Cuma,13.01.2018,Cumartesi,IRR,0.01029,0.01042
12.01.2018,Cuma,13.01.2018,Cumartesi,CNY,0.57865,0.58622
12.01.2018,Cuma,13.01.2018,Cumartesi,PKR,0.03378,0.03422
12.01.2018,Cuma,14.01.2018,Pazar,USD,3.7622,3.769
12.01.2018,Cuma,14.01.2018,Pazar,AUD,2.9564,2.9757
12.01.2018,Cuma,14.01.2018,Pazar,DKK,0.61017,0.61316
12.01.2018,Cuma,14.01.2018,Pazar,EUR,4.5517,4.5599
12.01.2018,Cuma,14.01.2018,Pazar,GBP,5.1046,5.1312
12.01.2018,Cuma,14.01.2018,Pazar,CHF,3.8574,3.8822
12.01.2018,Cuma,14.01.2018,Pazar,SEK,0.46168,0.46646
12.01.2018,Cuma,14.01.2018,Pazar,CAD,2.9992,3.0128
12.01.2018,Cuma,14.01.2018,Pazar,KWD,12.4166,12.579
12.01.2018,Cuma,14.01.2018,Pazar,NOK,0.46989,0.47305
12.01.2018,Cuma,14.01.2018,Pazar,SAR,1.0031,1.005
12.01.2018,Cuma,14.01.2018,Pazar,JPY,3.3749,3.3973
12.01.2018,Cuma,14.01.2018,Pazar,BGN,2.3139,2.3442
12.01.2018,Cuma,14.01.2018,Pazar,RON,0.9757,0.98847
12.01.2018,Cuma,14.01.2018,Pazar,RUB,0.06612,0.06699
12.01.2018,Cuma,14.01.2018,Pazar,IRR,0.01029,0.01042
12.01.2018,Cuma,14.01.2018,Pazar,CNY,0.57865,0.58622
12.01.2018,Cuma,14.01.2018,Pazar,PKR,0.03378,0.03422
12.01.2018,Cuma,15.01.2018,Pazartesi,USD,3.7622,3.769
12.01.2018,Cuma,15.01.2018,Pazartesi,AUD,2.9564,2.9757
12.01.2018,Cuma,15.01.2018,Pazartesi,DKK,0.61017,0.61316
12.01.2018,Cuma,15.01.2018,Pazartesi,EUR,4.5517,4.5599
12.01.2018,Cuma,15.01.2018,Pazartesi,GBP,5.1046,5.1312
12.01.2018,Cuma,15.01.2018,Pazartesi,CHF,3.8574,3.8822
12.01.2018,Cuma,15.01.2018,Pazartesi,SEK,0.46168,0.46646
12.01.2018,Cuma,15.01.2018,Pazartesi,CAD,2.9992,3.0128
12.01.2018,Cuma,15.01.2018,Pazartesi,KWD,12.4166,12.579
12.01.2018,Cuma,15.01.2018,Pazartesi,NOK,0.46989,0.47305
12.01.2018,Cuma,15.01.2018,Pazartesi,SAR,1.0031,1.005
12.01.2018,Cuma,15.01.2018,Pazartesi,JPY,3.3749,3.3973
12.01.2018,Cuma,15.01.2018,Pazartesi,BGN,2.3139,2.3442
12.01.2018,Cuma,15.01.2018,Pazartesi,RON,0.9757,0.98847
12.01.2018,Cuma,15.01.2018,Pazartesi,RUB,0.06612,0.06699
12.01.2018,Cuma,15.01.2018,Pazartesi,IRR,0.01029,0.01042
12.01.2018,Cuma,15.01.2018,Pazartesi,CNY,0.57865,0.58622
12.01.2018,Cuma,15.01.2018,Pazartesi,PKR,0.03378,0.03422
15.01.2018,Pazartesi,16.01.2018,Sali,USD,3.7593,3.7661
15.01.2018,Pazartesi,16.01.2018,Sali,AUD,2.982,3.0014
15.01.2018,Pazartesi,16.01.2018,Sali,DKK,0.6167,0.61973
15.01.2018,Pazartesi,16.01.2018,Sali,EUR,4.6015,4.6098
15.01.2018,Pazartesi,16.01.2018,Sali,GBP,5.1663,5.1932
15.01.2018,Pazartesi,16.01.2018,Sali,CHF,3.8905,3.9155
15.01.2018,Pazartesi,16.01.2018,Sali,SEK,0.46603,0.47085
15.01.2018,Pazartesi,16.01.2018,Sali,CAD,3.0191,3.0327
15.01.2018,Pazartesi,16.01.2018,Sali,KWD,12.4312,12.5939
15.01.2018,Pazartesi,16.01.2018,Sali,NOK,0.47493,0.47813
15.01.2018,Pazartesi,16.01.2018,Sali,SAR,1.0024,1.0042
15.01.2018,Pazartesi,16.01.2018,Sali,JPY,3.3878,3.4103
15.01.2018,Pazartesi,16.01.2018,Sali,BGN,2.3395,2.3701
15.01.2018,Pazartesi,16.01.2018,Sali,RON,0.98823,1.0012
15.01.2018,Pazartesi,16.01.2018,Sali,RUB,0.06626,0.06713
15.01.2018,Pazartesi,16.01.2018,Sali,IRR,0.01024,0.01037
15.01.2018,Pazartesi,16.01.2018,Sali,CNY,0.58097,0.58857
15.01.2018,Pazartesi,16.01.2018,Sali,PKR,0.03375,0.03419
